순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	강관식	두산	-	1	0	0	0	0	-	0	1	0	0	0	0	0	0	-
2	이재우	두산	1.72	76	7	5	1	28	0.583	99 2/3	82	6	26	4	79	22	19	1.08
3	정재훈	두산	2.09	51	1	6	30	0	0.143	56	38	2	22	5	60	15	13	1.07
4	박명환	두산	2.96	20	11	3	0	0	0.786	112 1/3	81	4	58	6	113	40	37	1.24
5	김성배	두산	3.17	72	8	3	2	8	0.727	82 1/3	71	4	24	5	60	30	29	1.15
6	랜들	두산	3.25	29	12	7	0	0	0.632	149 2/3	163	18	47	15	111	59	54	1.40
7	리오스	두산	3.51	32	15	12	0	0	0.556	205 1/3	203	20	57	17	147	88	80	1.27
8	이원희	두산	3.86	43	3	2	0	2	0.600	56	59	6	28	4	33	25	24	1.55
9	이혜천	두산	3.95	30	7	4	0	3	0.636	109 1/3	105	10	54	7	59	58	48	1.45
10	김승회	두산	4.00	7	0	1	0	0	0.000	9	8	2	3	1	7	4	4	1.22
10	조현근	두산	4.00	34	0	0	0	2	-	36	35	3	8	2	11	16	16	1.19
12	이재영	두산	4.03	16	1	2	0	1	0.333	22 1/3	24	4	11	0	20	10	10	1.57
13	스미스	두산	4.55	16	4	6	0	0	0.400	95	115	5	37	6	45	54	48	1.60
14	김명제	두산	4.63	28	7	6	0	0	0.538	107	92	12	49	8	67	57	55	1.32
15	금민철	두산	4.73	39	0	3	0	6	0.000	51 1/3	45	5	20	6	44	28	27	1.27
16	이경민	두산	5.40	1	0	0	0	0	-	5	5	1	4	0	3	3	3	1.80
17	박정배	두산	8.22	12	1	1	0	0	0.500	15 1/3	26	4	5	1	9	15	14	2.02
18	서동환	두산	12.71	6	0	0	0	0	-	5 2/3	6	0	11	1	4	8	8	3.00
1	노장진	롯데	2.45	35	1	2	18	0	0.333	33	19	3	7	2	52	9	9	0.79
2	손민한	롯데	2.46	28	18	7	1	0	0.720	168 1/3	149	9	38	2	105	54	46	1.11
3	이상목	롯데	3.02	17	6	7	0	0	0.462	101 1/3	88	8	16	7	69	35	34	1.03
4	노승욱	롯데	3.12	11	0	0	0	1	-	8 2/3	8	0	2	2	7	3	3	1.15
5	가득염	롯데	3.52	35	0	0	1	2	-	23	18	0	1	4	21	9	9	0.83
6	염종석	롯데	3.77	22	3	9	0	0	0.250	107 1/3	104	4	23	17	58	50	45	1.18
7	이정민	롯데	3.82	56	6	7	7	4	0.462	94 1/3	86	6	47	5	63	41	40	1.41
8	최혁권	롯데	3.86	3	0	0	0	0	-	2 1/3	3	0	1	1	1	1	1	1.71
9	이왕기	롯데	4.02	51	5	3	3	6	0.625	65	52	5	21	8	63	30	29	1.12
10	이석만	롯데	4.05	4	0	0	0	0	-	6 2/3	7	0	2	1	7	3	3	1.35
11	이정훈	롯데	4.44	54	2	3	1	5	0.400	75	86	6	28	7	46	40	37	1.52
12	이용훈	롯데	5.01	22	7	9	1	0	0.438	106	94	12	45	6	106	63	59	1.31
13	장원준	롯데	5.11	28	5	6	0	1	0.455	107 1/3	105	9	53	5	79	65	61	1.47
14	이명우	롯데	5.34	46	0	5	0	3	0.000	57 1/3	71	4	31	3	29	37	34	1.78
15	주형광	롯데	6.03	11	3	2	0	0	0.600	34 1/3	39	7	13	2	23	24	23	1.51
16	박지철	롯데	6.06	13	1	5	0	0	0.167	49	58	9	28	4	39	36	33	1.76
17	김수화	롯데	6.48	4	0	1	0	0	0.000	8 1/3	9	1	6	0	5	6	6	1.80
18	조정훈	롯데	6.83	19	1	0	0	2	1.000	29	41	2	19	3	19	23	22	2.07
19	강상수	롯데	8.28	24	0	0	1	0	-	29 1/3	35	4	22	6	17	27	27	1.94
20	최대성	롯데	9.20	11	0	1	0	0	0.000	14 2/3	25	2	5	4	8	17	15	2.05
1	오승환	삼성	1.18	61	10	1	16	11	0.909	99	46	5	20	0	115	13	13	0.67
2	권오준	삼성	2.29	46	3	1	17	1	0.750	63	47	4	14	3	69	17	16	0.97
3	라형진	삼성	2.35	8	1	0	0	0	1.000	15 1/3	8	2	1	3	16	4	4	0.59
4	지승민	삼성	2.70	7	0	0	0	0	-	3 1/3	2	1	3	0	5	1	1	1.50
5	임동규	삼성	2.74	21	4	2	0	0	0.667	62 1/3	55	5	19	1	39	21	19	1.19
6	배영수	삼성	2.86	31	11	11	2	1	0.500	173	148	10	48	11	147	61	55	1.13
7	박석진	삼성	3.47	70	8	0	1	15	1.000	62 1/3	59	4	7	9	24	29	24	1.06
8	안지만	삼성	3.48	63	8	3	0	14	0.727	82 2/3	65	8	36	7	72	35	32	1.22
9	하리칼라	삼성	3.71	11	3	2	0	0	0.600	51	66	4	11	2	31	22	21	1.51
10	오상민	삼성	4.32	21	0	0	0	7	-	8 1/3	8	2	3	1	8	4	4	1.32
11	전병호	삼성	4.39	29	6	5	0	0	0.545	104 2/3	110	16	31	3	51	60	51	1.35
12	김진웅	삼성	4.58	12	1	1	1	0	0.500	19 2/3	14	6	8	3	15	10	10	1.12
13	박성훈	삼성	4.61	22	0	0	0	3	-	13 2/3	19	1	9	2	13	12	7	2.05
14	해크먼	삼성	4.80	15	3	6	0	0	0.333	80 2/3	78	9	37	6	57	51	43	1.43
15	강영식	삼성	4.83	60	0	0	0	7	-	31 2/3	26	4	27	3	37	18	17	1.67
16	바르가스	삼성	5.06	26	10	8	0	0	0.556	128	120	12	63	7	66	78	72	1.43
17	김덕윤	삼성	5.72	20	1	0	0	0	1.000	39 1/3	45	5	14	3	40	25	25	1.50
18	임창용	삼성	6.50	29	5	8	0	3	0.385	91 1/3	110	11	36	15	70	67	66	1.60
1	서민욱	한화	0.00	2	0	0	0	0	-	2/3	2	0	0	0	1	0	0	3.00
2	신주영	한화	2.36	24	0	0	0	1	-	34 1/3	29	3	7	2	20	10	9	1.05
3	지연규	한화	2.84	33	0	1	20	0	0.000	38	30	3	14	6	32	13	12	1.16
4	최영필	한화	2.89	40	8	8	5	0	0.500	112	109	9	30	6	72	41	36	1.24
5	윤규진	한화	3.34	53	4	4	5	9	0.500	67 1/3	69	6	28	8	55	29	25	1.44
6	문동환	한화	3.47	26	10	9	0	0	0.526	173 2/3	174	12	57	3	103	74	67	1.33
7	송진우	한화	3.81	23	11	7	0	0	0.611	127 2/3	126	13	42	7	88	61	54	1.32
8	김해님	한화	4.28	32	6	8	1	2	0.429	128 1/3	152	12	30	10	61	66	61	1.42
9	정민철	한화	4.82	25	9	3	0	0	0.750	115 2/3	124	14	26	6	56	70	62	1.30
10	윤근영	한화	5.40	51	0	1	1	4	0.000	40	41	3	25	4	19	28	24	1.65
11	오봉옥	한화	5.65	40	3	2	3	2	0.600	43	54	8	19	3	24	28	27	1.70
12	양훈	한화	5.83	22	3	6	0	0	0.333	71	74	5	33	9	21	50	46	1.51
13	차명주	한화	5.88	77	4	1	0	12	0.800	33 2/3	46	3	9	4	17	23	22	1.63
14	안영명	한화	6.10	10	0	2	0	0	0.000	20 2/3	26	3	12	2	14	17	14	1.84
15	조성민	한화	6.52	16	2	2	0	4	0.500	19 1/3	30	1	9	6	8	15	14	2.02
16	정병희	한화	6.56	58	3	5	1	9	0.375	70	82	10	36	11	55	55	51	1.69
17	김창훈	한화	13.50	2	0	0	0	0	-	2 2/3	6	2	0	1	3	6	4	2.25
18	조규수	한화	22.09	5	0	2	0	0	0.000	3 2/3	11	1	3	0	4	9	9	3.82
1	신철인	현대	0.00	2	0	0	0	0	-	1 1/3	1	0	0	0	1	0	0	0.75
1	이상우	현대	-	1	0	0	0	0	-	0	3	1	0	1	0	3	3	-
3	이보근	현대	2.45	14	0	2	0	0	0.000	25 2/3	22	3	10	0	16	13	7	1.25
4	김성태	현대	3.00	2	0	0	0	0	-	3	0	0	5	0	2	1	1	1.67
5	조용준	현대	3.27	49	2	1	27	0	0.667	52 1/3	47	6	20	3	61	21	19	1.28
6	황두성	현대	3.29	60	11	9	1	7	0.550	128 2/3	106	15	41	6	137	53	47	1.14
7	송신영	현대	3.74	40	1	4	0	5	0.200	74 2/3	71	2	34	6	53	32	31	1.41
8	박준수	현대	3.86	29	1	1	0	1	0.500	42	37	4	7	7	43	20	18	1.05
9	노환수	현대	3.92	52	1	1	0	7	0.500	43 2/3	36	6	13	7	38	22	19	1.12
10	캘러웨이	현대	3.97	32	16	9	0	0	0.640	197 1/3	206	17	54	12	103	99	87	1.32
11	이동학	현대	4.04	26	0	2	0	0	0.000	42 1/3	54	5	24	3	23	25	19	1.84
12	이상현	현대	4.41	11	0	0	0	0	-	16 1/3	17	2	8	3	14	9	8	1.53
13	정민태	현대	4.73	8	0	3	0	0	0.000	26 2/3	34	2	6	1	13	19	14	1.50
14	김민범	현대	5.09	41	0	0	0	1	-	23	23	1	3	3	21	13	13	1.13
15	이대환	현대	5.31	31	5	3	0	0	0.625	76 1/3	87	11	29	7	50	49	45	1.52
16	손승락	현대	5.43	26	5	10	0	0	0.333	134 1/3	154	18	48	10	80	81	81	1.50
17	김수경	현대	5.76	17	7	7	0	0	0.500	90 2/3	106	17	39	3	70	60	58	1.60
18	오재영	현대	6.01	22	1	11	0	0	0.083	70 1/3	79	5	44	2	37	57	47	1.75
19	전준호	현대	7.61	16	3	6	0	1	0.333	49 2/3	62	7	23	5	28	45	42	1.71
20	노병오	현대	10.13	13	0	0	0	0	-	13 1/3	21	3	8	1	10	15	15	2.18
21	임선동	현대	17.18	3	0	1	0	0	0.000	3 2/3	9	0	3	0	3	7	7	3.27
22	전승윤	현대	54.00	1	0	0	0	0	-	1/3	0	0	3	0	0	3	2	9.00
1	전병두	KIA	3.00	49	3	2	5	2	0.600	57	37	5	36	3	55	20	19	1.28
2	신용운	KIA	3.08	41	4	6	7	4	0.400	61 1/3	56	6	33	4	31	26	21	1.45
3	이강철	KIA	3.20	18	0	1	0	3	0.000	19 2/3	23	1	8	4	15	7	7	1.58
4	차정민	KIA	3.50	30	4	1	0	3	0.800	36	36	2	15	7	19	17	14	1.42
5	김진우	KIA	3.91	31	6	10	1	0	0.375	145	126	10	61	12	123	71	63	1.29
6	그레이싱어	KIA	3.93	14	6	6	0	0	0.500	75 2/3	72	6	16	8	58	38	33	1.16
7	최향남	KIA	4.10	12	2	5	1	0	0.286	41 2/3	39	5	20	4	31	20	19	1.42
8	블랭크	KIA	4.26	20	4	4	0	0	0.500	93	85	16	41	6	45	47	44	1.35
9	윤석민	KIA	4.29	53	3	4	7	0	0.429	84	92	8	32	6	49	47	40	1.48
10	이상화	KIA	4.32	6	0	0	0	0	-	8 1/3	10	0	3	1	5	4	4	1.56
11	강철민	KIA	4.68	23	3	8	0	0	0.273	92 1/3	99	14	52	11	68	52	48	1.64
12	조태수	KIA	5.75	25	0	1	0	1	0.000	36	47	9	14	3	27	27	23	1.69
13	정원	KIA	5.83	21	2	0	0	0	1.000	29 1/3	32	5	13	3	22	20	19	1.53
14	존슨	KIA	5.96	5	1	1	0	0	0.500	25 2/3	31	6	12	5	23	17	17	1.68
15	최상덕	KIA	6.02	24	1	5	2	2	0.167	61 1/3	71	8	24	8	48	44	41	1.55
16	오철민	KIA	6.17	23	0	1	0	3	0.000	11 2/3	18	2	7	1	7	9	8	2.14
17	이동현	KIA	6.34	23	4	3	0	2	0.571	38 1/3	42	6	32	5	33	31	27	1.93
18	박정태	KIA	6.47	46	0	4	1	4	0.000	40 1/3	48	0	33	6	37	32	29	2.01
19	김건한	KIA	7.18	27	1	3	0	3	0.250	31 1/3	39	5	16	6	19	28	25	1.76
20	이경원	KIA	7.36	8	0	0	0	0	-	3 2/3	5	0	2	0	0	3	3	1.91
21	방동민	KIA	9.00	2	0	0	0	0	-	1	0	0	2	0	1	1	1	2.00
22	김주철	KIA	10.13	3	0	0	0	0	-	5 1/3	6	2	6	0	4	7	6	2.25
23	이범석	KIA	11.05	8	0	1	0	0	0.000	7 1/3	14	1	5	2	8	11	9	2.59
24	윤형진	KIA	12.79	4	0	0	0	0	-	6 1/3	12	3	1	2	4	9	9	2.05
25	조규제	KIA	36.00	4	0	0	0	0	-	1	5	2	2	1	0	4	4	7.00
1	우규민	LG	1.17	6	1	0	0	0	1.000	7 2/3	7	0	2	1	4	2	1	1.17
2	손상정	LG	2.84	6	0	0	0	0	-	6 1/3	5	0	2	0	2	2	2	1.11
3	이원식	LG	3.38	13	1	0	1	0	1.000	16	19	2	7	1	13	8	6	1.63
4	류택현	LG	3.63	69	0	5	0	13	0.000	52	51	3	16	5	41	25	21	1.29
5	민경수	LG	3.74	60	0	0	0	9	-	21 2/3	27	0	14	1	16	9	9	1.89
6	장문석	LG	3.75	27	5	5	7	0	0.500	84	93	2	31	5	60	40	35	1.48
7	경헌호	LG	3.98	43	0	2	9	4	0.000	54 1/3	47	3	14	6	37	25	24	1.12
8	최원호	LG	4.07	27	13	6	0	0	0.684	163 2/3	153	17	60	15	106	79	74	1.30
9	정재복	LG	4.10	65	5	3	4	14	0.625	79	76	5	36	5	63	39	36	1.42
10	심수창	LG	4.22	19	0	1	0	1	0.000	32	33	1	17	1	21	18	15	1.56
11	송현우	LG	4.82	33	1	1	0	3	0.500	37 1/3	41	5	20	3	23	23	20	1.63
12	김광삼	LG	4.96	23	7	7	0	0	0.500	103 1/3	115	13	53	8	76	63	57	1.63
13	왈론드	LG	5.04	19	4	10	1	2	0.286	89 1/3	85	12	49	2	68	56	50	1.50
14	박만채	LG	5.34	13	1	1	0	0	0.500	30 1/3	47	3	11	3	21	20	18	1.91
15	서승화	LG	5.40	4	0	0	0	0	-	5	9	0	3	0	2	3	3	2.40
16	이승호	LG	5.51	23	5	10	0	0	0.333	111	122	15	51	3	94	73	68	1.56
17	진필중	LG	5.82	13	3	7	0	0	0.300	51	58	5	21	7	27	40	33	1.55
18	손기현	LG	6.00	4	0	0	0	0	-	3	2	1	1	2	3	2	2	1.00
19	장준관	LG	6.20	18	0	2	0	3	0.000	20 1/3	25	1	10	2	12	17	14	1.72
20	신윤호	LG	6.25	29	1	4	9	1	0.200	31 2/3	44	3	15	1	15	25	22	1.86
21	김장준	LG	7.00	4	0	0	0	0	-	9	14	1	4	2	6	7	7	2.00
22	김광우	LG	7.20	12	0	0	0	2	-	5	6	3	4	0	5	4	4	2.00
