
순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	임태훈	두산	0.500	9	2	2	0	1	0	0	0	1	0	0	0
2	김혜겸	두산	0.400	8	6	5	0	2	0	0	0	2	1	0	0
3	김동주	두산	0.322	119	481	382	68	123	24	0	19	204	78	0	2
4	이종욱	두산	0.316	123	528	465	84	147	20	12	1	194	46	6	4
5	안경현	두산	0.274	109	400	351	26	96	17	4	2	127	49	4	6
6	김현수	두산	0.273	99	353	319	33	87	19	3	5	127	32	1	2
7	홍성흔	두산	0.268	80	274	231	21	62	11	0	5	88	39	3	6
8	고영민	두산	0.268	126	536	444	89	119	29	1	12	186	66	8	6
9	오재원	두산	0.259	49	64	58	10	15	4	0	0	19	5	0	1
10	윤재국	두산	0.257	74	227	202	26	52	6	1	3	69	23	3	2
11	이대수	두산	0.252	109	366	310	33	78	14	1	3	103	36	14	6
12	민병헌	두산	0.244	119	372	328	53	80	14	3	3	109	31	5	6
13	최준석	두산	0.244	121	451	386	48	94	20	2	16	166	75	5	7
14	정원석	두산	0.242	78	68	62	18	15	1	2	1	23	8	1	0
15	채상병	두산	0.237	91	307	279	32	66	13	1	7	102	30	8	0
16	전상렬	두산	0.186	75	97	86	19	16	5	0	0	21	5	1	0
17	장원진	두산	0.185	23	31	27	1	5	2	0	0	7	3	0	2
18	안상준	두산	0.183	46	95	82	5	15	3	0	0	18	6	4	1
19	유재웅	두산	0.182	20	37	33	0	6	1	0	0	7	2	0	0
20	강동우	두산	0.163	25	48	43	1	7	1	1	1	13	6	0	0
21	김진수	두산	0.156	45	46	45	1	7	1	0	0	8	0	0	0
22	윤석민	두산	0.074	30	29	27	1	2	2	0	0	4	0	1	0
23	금민철	두산	0.000	5	2	1	1	0	0	0	0	0	0	0	0
23	김덕윤	두산	-	2	0	0	0	0	0	0	0	0	0	0	0
23	김명제	두산	-	3	0	0	0	0	0	0	0	0	0	0	0
23	김상현	두산	-	2	0	0	0	0	0	0	0	0	0	0	0
23	김승회	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
23	김하람	두산	-	1	0	0	0	0	0	0	0	0	0	0	0
23	노경은	두산	-	2	0	0	0	0	0	0	0	0	0	0	0
23	양의지	두산	0.000	3	1	1	0	0	0	0	0	0	0	0	0
1	손용석	롯데	0.343	44	76	70	4	24	4	0	0	28	12	0	1
2	이대호	롯데	0.335	121	514	415	79	139	21	1	29	249	87	0	5
3	서정호	롯데	0.333	3	3	3	0	1	0	0	0	1	0	0	0
4	박현승	롯데	0.325	91	360	302	55	98	14	0	3	121	33	6	9
5	이승화	롯데	0.301	75	306	269	31	81	4	5	1	98	23	10	0
6	정수근	롯데	0.293	105	395	341	45	100	25	1	4	139	36	9	2
7	정보명	롯데	0.282	119	436	394	40	111	24	3	2	147	45	5	3
8	페레즈	롯데	0.273	47	184	176	21	48	8	0	8	80	28	0	1
9	강민호	롯데	0.271	125	474	413	48	112	20	0	14	174	68	17	3
10	이원석	롯데	0.262	121	407	363	43	95	10	1	1	110	29	16	1
11	김주찬	롯데	0.261	113	416	387	49	101	17	1	5	135	30	7	1
12	호세	롯데	0.256	23	100	86	5	22	4	0	1	29	12	0	0
13	김문호	롯데	0.244	27	46	41	5	10	0	0	1	13	6	0	0
14	리오스	롯데	0.231	38	142	134	12	31	7	0	2	44	17	0	3
15	황성용	롯데	0.230	69	105	87	11	20	1	1	0	23	5	4	1
16	박종윤	롯데	0.222	8	9	9	1	2	1	1	0	5	1	0	0
17	박기혁	롯데	0.222	108	320	266	26	59	8	1	1	72	24	13	4
18	최기문	롯데	0.220	58	66	59	11	13	3	0	0	16	5	0	0
19	최경환	롯데	0.216	36	86	74	3	16	5	1	0	23	6	3	0
20	박남섭	롯데	0.213	75	70	61	10	13	2	0	1	18	8	3	0
21	최만호	롯데	0.204	41	59	54	5	11	2	0	1	16	5	3	0
22	이인구	롯데	0.198	65	204	167	18	33	8	2	1	48	12	7	2
23	손광민	롯데	0.167	4	6	6	2	1	1	0	0	2	1	0	0
24	최길성	롯데	0.165	56	105	91	6	15	4	0	2	25	6	0	2
25	문규현	롯데	0.056	25	19	18	2	1	0	0	0	1	2	0	1
26	김민성	롯데	0.000	4	1	1	0	0	0	0	0	0	0	0	0
26	김승관	롯데	0.000	5	7	6	0	0	0	0	0	0	0	0	0
26	나승현	롯데	-	1	0	0	0	0	0	0	0	0	0	0	0
26	박지철	롯데	-	3	0	0	0	0	0	0	0	0	0	0	0
26	이동훈	롯데	0.000	3	2	2	0	0	0	0	0	0	0	0	0
1	양준혁	삼성	0.337	123	544	442	78	149	34	0	22	249	72	1	2
2	박진만	삼성	0.312	100	400	333	34	104	25	0	7	150	56	5	5
3	강봉규	삼성	0.282	83	170	142	20	40	9	1	1	54	13	5	2
4	박한이	삼성	0.267	123	559	479	68	128	12	1	2	148	27	4	5
5	심정수	삼성	0.258	124	515	427	64	110	17	0	31	220	101	0	2
6	신명철	삼성	0.252	126	471	416	43	105	20	2	5	144	31	23	2
7	김창희	삼성	0.247	100	284	251	20	62	14	2	3	89	22	9	2
8	진갑용	삼성	0.246	122	427	362	28	89	12	0	5	116	39	5	4
9	김한수	삼성	0.235	101	317	289	25	68	11	1	3	90	26	2	5
10	김재걸	삼성	0.232	116	378	314	40	73	12	0	2	91	22	21	3
11	박정환	삼성	0.224	46	84	76	7	17	3	1	0	22	5	2	2
12	채태인	삼성	0.221	31	84	77	6	17	5	0	1	25	10	1	0
13	김종훈	삼성	0.206	63	73	68	2	14	0	0	0	14	5	2	1
14	김대익	삼성	0.198	69	101	86	5	17	2	0	0	19	6	2	0
15	조동찬	삼성	0.189	38	129	106	14	20	3	0	0	23	10	6	0
16	박종호	삼성	0.185	17	31	27	0	5	3	0	0	8	4	3	0
17	조영훈	삼성	0.168	66	175	155	16	26	4	0	1	33	9	2	4
18	이정식	삼성	0.156	65	73	64	6	10	3	0	3	22	9	1	0
19	이여상	삼성	0.143	4	7	7	2	1	0	0	0	1	0	0	0
20	이태호	삼성	0.121	45	35	33	4	4	2	0	0	6	0	1	0
21	강명구	삼성	0.111	68	32	27	13	3	0	1	0	5	2	0	0
22	권오준	삼성	-	1	0	0	0	0	0	0	0	0	0	0	0
22	김동명	삼성	-	1	0	0	1	0	0	0	0	0	0	0	0
22	손승현	삼성	0.000	3	2	2	0	0	0	0	0	0	0	0	0
22	오승환	삼성	-	5	0	0	0	0	0	0	0	0	0	0	0
22	유용목	삼성	0.000	5	1	1	0	0	0	0	0	0	0	0	0
22	임창용	삼성	-	2	0	0	1	0	0	0	0	0	0	0	0
22	정현욱	삼성	-	1	0	0	0	0	0	0	0	0	0	0	0
22	조현근	삼성	-	1	0	0	0	0	0	0	0	0	0	0	0
22	차우찬	삼성	-	2	0	0	0	0	0	0	0	0	0	0	0
1	서정	한화	1.000	1	1	1	0	1	0	0	0	1	0	0	0
2	정범모	한화	0.400	3	5	5	1	2	0	0	1	5	2	0	0
3	크루즈	한화	0.321	121	498	418	68	134	30	0	22	230	85	0	4
4	김태균	한화	0.290	118	491	393	62	114	13	0	21	190	85	0	6
5	김민재	한화	0.273	118	451	395	43	108	17	0	6	143	47	20	1
6	조원우	한화	0.266	114	359	319	36	85	15	1	4	114	26	9	1
7	연경흠	한화	0.260	36	82	77	7	20	6	0	1	29	7	0	0
8	한상훈	한화	0.259	118	363	313	33	81	15	1	2	104	22	13	2
9	신경현	한화	0.250	107	287	260	33	65	9	0	2	80	15	8	1
10	고동진	한화	0.249	124	473	394	68	98	8	5	1	119	37	11	2
11	이범호	한화	0.246	126	505	418	57	103	14	0	21	180	63	6	4
12	김태완	한화	0.245	61	105	94	11	23	5	0	4	40	12	0	0
13	이영우	한화	0.238	97	337	294	31	70	14	4	0	92	28	3	3
14	백재호	한화	0.226	80	199	164	18	37	4	0	6	59	18	3	2
15	송광민	한화	0.205	30	42	39	4	8	1	0	0	9	2	1	1
16	김인철	한화	0.204	77	109	103	16	21	2	1	2	31	8	1	0
17	심광호	한화	0.197	76	151	132	14	26	4	1	3	41	14	6	0
18	김동영	한화	0.188	16	19	16	0	3	0	0	0	3	1	2	0
19	이도형	한화	0.186	79	199	177	18	33	4	0	6	55	26	0	1
20	김수연	한화	0.182	31	52	44	3	8	1	0	0	9	1	3	0
21	정희상	한화	0.159	41	68	63	8	10	3	0	2	19	3	1	0
22	구대성	한화	-	2	0	0	0	0	0	0	0	0	0	0	0
22	김강	한화	0.000	1	2	2	0	0	0	0	0	0	0	0	0
22	마정길	한화	-	1	0	0	0	0	0	0	0	0	0	0	0
22	백승룡	한화	0.000	8	4	4	3	0	0	0	0	0	0	0	0
22	안영명	한화	-	2	0	0	0	0	0	0	0	0	0	0	0
22	전현태	한화	0.000	2	3	3	0	0	0	0	0	0	0	0	
1	전근표	현대	0.333	4	4	3	0	1	0	0	0	1	0	0	0
2	이택근	현대	0.313	116	495	438	74	137	15	1	11	187	56	5	2
3	브룸바	현대	0.308	126	547	438	75	135	13	0	29	235	87	0	5
4	이숭용	현대	0.301	95	351	299	39	90	19	1	2	117	34	7	1
5	황재균	현대	0.300	63	171	160	19	48	6	0	2	60	12	4	1
6	전준호	현대	0.296	121	430	371	52	110	8	1	1	123	13	8	2
7	정성훈	현대	0.290	122	503	445	59	129	29	1	16	208	76	7	3
8	송지만	현대	0.281	120	478	413	54	116	25	0	15	186	64	10	5
9	김동수	현대	0.278	111	356	306	22	85	18	0	4	115	39	16	7
10	강병식	현대	0.274	91	150	135	11	37	4	0	4	53	17	0	2
11	정수성	현대	0.257	23	37	35	3	9	1	0	0	10	0	0	0
12	김일경	현대	0.247	117	444	376	44	93	11	1	3	115	26	36	1
13	강귀태	현대	0.231	55	116	108	5	25	8	0	0	33	6	2	1
14	허준	현대	0.231	35	42	39	2	9	2	0	0	11	4	1	0
15	유한준	현대	0.223	112	231	197	21	44	6	0	5	65	35	7	1
16	권도영	현대	0.222	7	11	9	1	2	1	0	0	3	0	1	0
16	조중근	현대	0.222	22	39	36	5	8	1	0	0	9	5	0	0
18	유선정	현대	0.200	5	5	5	0	1	0	0	0	1	0	0	0
19	오윤	현대	0.195	30	44	41	5	8	2	0	1	13	6	0	0
20	지석훈	현대	0.182	89	235	203	22	37	6	1	2	51	17	7	1
21	차화준	현대	0.173	47	60	52	3	9	0	0	0	9	1	4	0
