순위	선수명	팀명	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF
1	김웅빈	넥센	0.429	10	15	14	4	6	0	0	1	9	4	0	1
2	윤석민	넥센	0.334	92	402	341	72	114	15	0	19	186	80	0	6
3	고종욱	넥센	0.334	133	566	527	92	176	22	9	8	240	72	1	5
4	서건창	넥센	0.325	140	646	560	111	182	30	7	7	247	63	3	4
5	박정음	넥센	0.309	98	263	223	45	69	5	3	4	92	26	5	2
6	이택근	넥센	0.309	127	460	398	64	123	19	1	8	168	65	0	6
7	김민성	넥센	0.306	141	579	510	76	156	39	5	17	256	90	1	12
8	대니돈	넥센	0.295	129	497	417	65	123	33	1	16	206	70	1	4
9	채태인	넥센	0.286	124	417	370	29	106	14	3	7	147	72	0	9
10	김지수	넥센	0.286	81	106	91	16	26	5	0	3	40	9	4	1
11	김하성	넥센	0.281	144	599	526	92	148	29	7	20	251	84	2	5
12	유재신	넥센	0.258	93	74	62	20	16	0	0	0	16	6	2	0
13	임병욱	넥센	0.249	104	265	233	43	58	11	1	8	95	24	6	0
14	박동원	넥센	0.248	127	454	411	44	102	25	1	14	171	70	6	3
15	지재옥	넥센	0.231	7	17	13	2	3	0	0	1	6	1	0	0
16	홍성갑	넥센	0.226	44	68	62	4	14	0	1	0	16	7	0	0
17	주효상	넥센	0.222	12	19	18	3	4	1	0	0	5	3	0	0
18	장시윤	넥센	0.200	9	14	10	3	2	0	0	0	2	0	0	0
19	강지광	넥센	0.197	40	80	66	10	13	2	0	1	18	7	1	1
20	장영석	넥센	0.192	23	33	26	6	5	2	0	0	7	3	0	0
21	김재현	넥센	0.181	56	82	72	8	13	2	0	0	15	8	2	0
22	허정협	넥센	0.176	13	20	17	0	3	0	0	0	3	1	0	0
23	박윤	넥센	0.091	7	12	11	0	1	0	0	0	1	0	0	0
24	김민준	넥센	0.083	20	13	12	4	1	0	0	0	1	0	0	0
25	김세현	넥센	-	2	0	0	0	0	0	0	0	0	0	0	0
25	김택형	넥센	-	1	1	0	0	0	0	0	0	0	0	0	0
25	마정길	넥센	-	1	0	0	0	0	0	0	0	0	0	0	0
25	오주원	넥센	-	1	0	0	0	0	0	0	0	0	0	0	0
25	이정훈	넥센	-	1	0	0	0	0	0	0	0	0	0	0	0
1	정진호	두산	0.375	31	32	24	9	9	0	1	0	11	3	0	0
2	박건우	두산	0.335	132	540	484	95	162	36	4	20	266	83	4	5
3	김재환	두산	0.325	134	568	492	107	160	32	3	37	309	124	0	5
4	민병헌	두산	0.325	134	579	511	98	166	31	4	16	253	87	1	4
5	양의지	두산	0.319	108	392	332	66	106	17	0	22	189	66	1	7
6	오재일	두산	0.316	105	455	380	69	120	20	2	27	225	92	2	7
6	이원석	두산	0.316	7	22	19	3	6	3	0	2	15	7	0	1
8	김재호	두산	0.310	137	496	416	69	129	27	3	7	183	78	5	13
9	에반스	두산	0.308	118	481	400	69	123	31	0	24	226	81	0	7
10	류지혁	두산	0.288	90	134	118	34	34	5	0	3	48	9	2	1
11	허경민	두산	0.286	144	609	538	96	154	24	4	7	207	81	6	2
