순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	박웅	두산	3.00	8	0	0	0	0	-	6	7	0	7	0	3	3	2	2.33
2	정철원	두산	3.10	58	4	3	3	23	0.571	72 2/3	60	4	26	2	47	26	25	1.18
3	박정수	두산	3.20	13	1	1	0	0	0.500	19 2/3	17	1	9	1	18	7	7	1.32
4	홍건희	두산	3.48	58	2	9	18	9	0.182	62	58	5	21	2	60	30	24	1.27
5	브랜든	두산	3.60	11	5	3	0	0	0.625	65	56	5	24	1	40	29	26	1.23
5	스탁	두산	3.60	29	9	10	0	0	0.474	165	162	9	83	10	138	87	66	1.48
5	이병헌	두산	3.60	9	0	0	0	0	-	5	5	0	7	1	5	2	2	2.40
5	최원준	두산	3.60	30	8	13	0	0	0.381	165	183	21	37	7	113	80	66	1.33
9	김명신	두산	3.62	68	3	3	0	10	0.500	79 2/3	75	5	25	3	61	33	32	1.26
10	장원준	두산	3.71	27	0	1	0	6	0.000	17	23	0	7	1	7	8	7	1.76
11	곽빈	두산	3.78	27	8	9	0	0	0.471	147 2/3	143	13	60	11	138	69	62	1.37
12	임창민	두산	3.95	32	0	0	2	6	-	27 1/3	26	3	10	3	21	15	12	1.32
13	이형범	두산	4.35	31	0	1	0	0	0.000	31	34	1	11	4	17	17	15	1.45
14	김강률	두산	4.38	26	3	4	9	1	0.429	24 2/3	28	2	8	2	15	13	12	1.46
15	이영하	두산	4.93	21	6	8	0	0	0.429	98 2/3	109	5	57	6	83	65	54	1.68
16	최승용	두산	5.30	48	3	7	0	5	0.300	93 1/3	104	8	43	2	64	59	55	1.58
17	박치국	두산	5.40	15	1	2	0	3	0.333	11 2/3	6	0	9	3	12	8	7	1.29
18	권휘	두산	5.79	10	0	0	0	1	-	9 1/3	8	1	5	1	5	6	6	1.39
19	김지용	두산	6.05	18	1	0	0	0	1.000	19 1/3	19	5	5	1	13	14	13	1.24
20	이현승	두산	6.23	23	1	0	0	2	1.000	8 2/3	13	2	4	1	9	6	6	1.96
21	이승진	두산	6.61	35	3	1	0	2	0.750	31 1/3	35	5	12	1	29	25	23	1.50
22	박신지	두산	6.71	29	1	6	0	0	0.143	61 2/3	84	7	40	5	38	50	46	2.01
23	김동주	두산	7.56	10	0	0	0	0	-	16 2/3	23	5	9	0	13	14	14	1.92
24	미란다	두산	8.22	3	0	0	0	0	-	7 2/3	2	0	18	1	8	7	7	2.61
25	윤명준	두산	8.46	20	1	1	0	0	0.500	22 1/3	33	8	8	1	15	24	21	1.84
26	전창민	두산	19.29	9	0	0	0	0	-	9 1/3	17	2	8	0	3	20	20	2.68
27	최지강	두산	21.60	2	0	0	0	0	-	1 2/3	6	0	2	0	2	4	4	4.80
1	이대호	롯데	0.00	1	0	0	0	1	-	1/3	0	0	0	0	0	0	0	0.00
2	스트레일리	롯데	2.31	11	4	2	0	0	0.667	62 1/3	54	5	22	6	55	24	16	1.22
3	구승민	롯데	2.90	73	2	4	0	26	0.333	62	46	3	35	1	77	20	20	1.31
4	반즈	롯데	3.62	31	12	12	0	0	0.500	186 1/3	176	8	47	18	160	87	75	1.20
5	김도규	롯데	3.71	55	4	4	3	8	0.500	51	48	2	19	4	45	26	21	1.31
6	박세웅	롯데	3.89	28	10	11	0	0	0.476	157 1/3	179	8	32	8	146	80	68	1.34
7	김원중	롯데	3.98	43	2	3	17	2	0.400	43	40	4	16	0	60	21	19	1.30
8	나균안	롯데	3.98	39	3	8	0	2	0.273	117 2/3	125	5	37	3	123	55	52	1.38
9	최준용	롯데	4.06	68	3	4	14	6	0.429	71	63	10	20	6	80	35	32	1.17
10	정성종	롯데	4.15	5	0	0	0	0	-	4 1/3	4	0	4	0	5	4	2	1.85
11	이인복	롯데	4.19	26	9	9	0	1	0.500	126 2/3	153	6	30	4	71	63	59	1.44
12	김대우	롯데	4.50	10	0	0	0	1	-	10	6	0	8	0	8	5	5	1.40
12	조무근	롯데	4.50	2	0	0	0	0	-	2	2	0	1	0	1	1	1	1.50
14	서준원	롯데	4.80	33	3	3	0	2	0.500	60	65	3	23	5	45	32	32	1.47
15	스파크맨	롯데	5.31	19	2	4	0	0	0.333	84 2/3	97	6	43	4	89	55	50	1.65
16	김창훈	롯데	5.40	1	0	0	0	0	-	1 2/3	3	0	0	0	2	1	1	1.80
17	강윤구	롯데	5.48	29	0	0	0	0	-	21 1/3	25	0	6	1	27	17	13	1.45
18	김유영	롯데	5.65	68	6	2	0	13	0.750	51	73	4	30	3	44	34	32	2.02
19	문경찬	롯데	5.80	38	1	2	0	1	0.333	40 1/3	51	7	13	1	31	27	26	1.59
20	이민석	롯데	5.88	27	1	1	0	5	0.500	33 2/3	43	4	19	2	37	27	22	1.84
21	진명호	롯데	6.06	16	0	0	0	0	-	16 1/3	23	1	9	2	11	12	11	1.96
22	김진욱	롯데	6.36	14	2	5	0	0	0.286	46 2/3	43	3	35	8	52	36	33	1.67
23	나원탁	롯데	9.00	7	0	0	0	0	-	6	9	1	5	2	8	7	6	2.33
23	진승현	롯데	9.00	10	0	0	0	0	-	9	12	2	7	1	11	9	9	2.11
25	이강준	롯데	10.24	13	0	0	0	1	-	9 2/3	9	1	20	0	6	11	11	3.00
26	최영환	롯데	20.25	1	0	1	0	0	0.000	2 2/3	8	0	1	1	1	6	6	3.38
27	최건	롯데	23.14	5	0	0	0	0	-	2 1/3	7	0	6	0	3	8	6	5.57
28	이승헌	롯데	54.00	1	0	1	0	0	0.000	2/3	3	0	3	0	1	4	4	9.00
29	김민기	롯데	67.50	1	0	0	0	0	-	2/3	6	1	1	0	0	5	5	10.50
1	박주혁	삼성	1.35	8	0	0	0	0	-	6 2/3	5	1	4	0	3	3	1	1.35
2	이승민	삼성	1.69	2	0	0	0	0	-	5 1/3	2	0	5	0	2	1	1	1.31
3	김대우	삼성	2.08	4	1	0	0	0	1.000	4 1/3	4	0	0	0	5	1	1	0.92
4	수아레즈	삼성	2.49	30	6	8	0	0	0.429	173 2/3	151	7	50	4	159	61	48	1.16
5	뷰캐넌	삼성	3.04	26	11	8	0	0	0.579	160	176	10	39	8	117	61	54	1.34
5	홍정우	삼성	3.04	26	5	2	0	1	0.714	26 2/3	19	3	13	0	20	10	9	1.20
7	우규민	삼성	3.26	60	4	3	1	16	0.571	47	55	3	6	4	31	21	17	1.30
8	오승환	삼성	3.32	57	6	2	31	2	0.750	57	59	8	13	1	51	23	21	1.26
9	문용익	삼성	3.35	39	1	2	1	2	0.333	37 2/3	31	2	22	2	23	20	14	1.41
10	이상민	삼성	3.68	46	0	0	0	9	-	29 1/3	30	5	15	3	23	13	12	1.53
11	원태인	삼성	3.92	27	10	8	0	0	0.556	165 1/3	175	16	38	4	130	75	72	1.29
12	노성호	삼성	4.50	3	0	0	0	0	-	2	2	0	3	0	2	1	1	2.50
13	이승현	삼성	4.53	58	2	4	1	14	0.333	47 2/3	43	5	21	3	57	28	24	1.34
14	이승현	삼성	4.68	54	0	2	0	13	0.000	50	48	5	22	3	39	26	26	1.40
15	최충연	삼성	4.70	38	0	1	0	0	0.000	38 1/3	39	3	20	5	29	24	20	1.54
16	임대한	삼성	5.27	12	2	1	0	1	0.667	13 2/3	12	1	9	1	8	11	8	1.54
17	백정현	삼성	5.27	24	4	13	0	0	0.235	124 2/3	154	22	37	9	70	76	73	1.53
18	장필준	삼성	5.70	19	0	3	0	0	0.000	30	38	1	15	3	17	20	19	1.77
19	이수민	삼성	5.79	4	0	0	0	0	-	4 2/3	3	1	5	1	2	3	3	1.71
20	김윤수	삼성	5.91	37	3	3	0	3	0.500	35	39	2	22	2	32	29	23	1.74
21	이재익	삼성	5.94	42	3	2	0	7	0.600	33 1/3	41	4	9	1	21	25	22	1.50
