Year	SSG	키움	삼성	롯데	LG	KIA	KT	NC	한화	두산
2023	2	6	10	4	1	8	7	3	9	5
2022	1	2	7	8	3	5	4	6	10	9
2021	6	5	3	8	4	9	1	7	10	2
2020	9	5	8	7	4	6	3	1	10	2
2019	3	2	8	10	4	7	6	5	9	1
2018	1	4	6	7	8	5	9	10	3	2
2017	5	7	9	3	6	1	10	4	8	2
2016	6	3	9	8	4	5	10	2	7	1
2015	5	4	2	8	9	7	10	3	6	1
2014	5	2	1	7	4	8	0	3	9	6	
2013	6	4	1	5	3	8	0	7	9	2
2012	1	6	1	4	7	5	0	0	8	3
2011	2	8	1	3	6	4	0	0	6	5
2010	1	7	2	4	6	5	0	0	8	3
2009	2	6	5	4	7	1	0	0	8	3
2008	1	7	4	3	8	6	0	0	5	2
2007	1	6	4	7	5	8	0	0	3	2
2006	6	3	1	7	8	4	0	0	2	5
2005	3	7	1	5	6	8	0	0	4	2
2004	5	1	2	8	6	4	0	0	7	3
2003	2	1	4	8	6	3	0	0	5	7
